,Unnamed: 0,followers_count,id,link,pop_score,time,text,score,word_counts,eng_perc,platform
651,686,7250,285886570316304384,https://twitter.com/i/web/status/285886570316304384,0,2012-12-31,“@JulieOfcharsky: Kim Kardashian couldn't even take care of a cat &amp; now she's pregnant.....let that sink in“ julie u too funny love u on bgc,0.375,30,0.4,tw
652,687,1143,169225749482586112,https://twitter.com/i/web/status/169225749482586112,0,2012-02-14,"Yes, Gawd. RT @NoHairyCoochies: Drake ex Cat that one shorty from BGC. Her ass is crazy.. matter of fact her whole body is crazy.",-0.3333333333333333,24,0.4583333333333333,tw
653,688,21,966330755486965760,https://twitter.com/i/web/status/966330755486965760,2,2018-02-21,"Hindi ako cat person. I hated them when I was little. Pero when I read the news about , nakakalungkot. please...",-0.54375,20,0.55,tw
654,689,2191,164187862500249600,https://twitter.com/i/web/status/164187862500249600,2,2012-01-31,Cat Was The Baddest Of ALL BGC's So Far In My Opinion.,0.1,13,0.5384615384615384,tw
655,690,578,967242681620377600,https://twitter.com/i/web/status/967242681620377600,2,2018-02-24,Cats. Rule. The. Internet. MEOW!,0.0,5,0.6,tw
656,691,85,972326847131271168,https://twitter.com/i/web/status/972326847131271168,2,2018-03-10,has been hiding the truth. It has been fooling the public.,0.0,11,0.36363636363636365,tw
657,693,1479,165168452376596480,https://twitter.com/i/web/status/165168452376596480,0,2012-02-02,I have 4 TIX left to the D. Wade//Miami Heat + Ms. Cat of BGC's B-Day Bash 2nite at Whisper in Philly,0.0,22,0.4090909090909091,tw
658,694,2631,202061722222202880,https://twitter.com/i/web/status/202061722222202880,0,2012-05-14,"Cat from BGC said Drake was a good ""Peach Eater"" &amp; He took after the black side of the family. AYYYYYYYEEEEEDOH Yeah Drake lmao",0.37777777777777777,24,0.5416666666666666,tw
659,695,72,969124285129244672,https://twitter.com/i/web/status/969124285129244672,2,2018-03-01,"May mga furbabies pa dto sa BGC, ansaya",0.0,8,0.25,tw
660,697,125,965930199224238080,https://twitter.com/i/web/status/965930199224238080,0,2018-02-20,"Where are the BGC cats? What happened to them? Every morning, different people come and feed them. They may not have owners but they certainly have people who care for them.",0.10714285714285714,31,0.3870967741935484,tw
661,698,1071,965266780754030592,https://twitter.com/i/web/status/965266780754030592,0,2018-02-18,WHAT HAPPENED TO THE CATS OF BGC 😡🤬,0.0,8,0.25,tw
662,699,1774,967583628539539456,https://twitter.com/i/web/status/967583628539539456,2,2018-02-25,I think these cats are the only survivors of 's fenocide/purge/extermination.,0.0,11,0.36363636363636365,tw
663,700,272,964840162592092160,https://twitter.com/i/web/status/964840162592092160,7,2018-02-17,"Actually ang bobo ng Shang BGC for removing the stray cats around the area, kahit most of them are healthy and neutered — good luck dealing with the new cats that move in",0.3672727272727273,33,0.42424242424242425,tw
665,702,195,753717109947904000,https://twitter.com/i/web/status/753717109947904000,0,2016-07-14,@PhilAnimalRescu hi who can I contact to get help for a cat trapped atop a tree in 11th Dr. BGC in front of Uptown Tower 3?,-0.2,26,0.46153846153846156,tw
666,703,692,969369635878350848,https://twitter.com/i/web/status/969369635878350848,1,2018-03-02,Shangri-La at the Fort faced social media backlash for its treatment of BGC cats. It's something we all can learn from.,0.03333333333333333,22,0.36363636363636365,tw
667,704,307,174180690781405184,https://twitter.com/i/web/status/174180690781405184,0,2012-02-27,This girl trying to be erica off of bgc and told this girl she was fussin with and said my cat gets racks,0.0,23,0.34782608695652173,tw
669,706,24277,966163538078257152,https://twitter.com/i/web/status/966163538078257152,0,2018-02-21,The latest News!,0.625,3,0.6666666666666666,tw
670,707,274,965478457751756800,https://twitter.com/i/web/status/965478457751756800,7,2018-02-19,Where are the BGC Cats? This is a Black Mirror episode for Shangri-La at the Fort. Their Facebook page rating went down because of non-guests reviews.,-0.16111111111111112,26,0.34615384615384615,tw
